Is there anyone in your life who can support you and be there for you?,How were you feeling lately?,Have you been sleeping well?,Have you been worried or anxious lately?,Are you enjoying your daily activities and hobbies?,Have you been feeling like you have a good support system in place?,Are you having any thoughts of self-harm or suicide?,How do you usually handle stress and negative emotions?,Have you talked to anyone about how you are feeling?,With whom do you share your feelings?
1,3,0,0,0,0,1,1,0,1
1,1,1,1,1,1,1,2,1,1
1,4,0,0,1,1,1,4,0,2
0,3,1,0,0,0,1,2,0,3
0,3,0,0,0,1,0,2,0,2
1,3,0,0,1,1,1,1,1,1
1,1,0,1,1,1,1,3,1,1
0,4,1,0,0,0,1,3,0,3
1,5,0,0,0,1,1,4,1,3
1,5,1,0,0,0,1,2,0,3
0,5,1,1,1,0,1,2,0,2
0,3,0,0,0,0,0,3,0,2
1,3,1,1,1,0,1,1,0,2
1,2,1,0,0,1,1,5,0,2
1,3,0,0,0,1,1,1,1,3
1,4,1,0,1,1,1,5,1,3
1,4,1,0,0,1,1,5,0,2
1,2,1,0,1,1,1,4,1,2
1,5,1,0,0,0,1,1,0,2
1,5,0,0,1,0,1,5,1,3
1,3,0,0,0,0,1,2,0,1
1,5,1,1,0,0,1,5,0,3
0,5,0,1,0,0,0,3,0,3
0,5,1,0,0,0,0,2,0,2
0,2,1,1,0,0,1,4,1,2
1,2,1,0,1,0,1,4,1,3
1,3,1,0,0,1,0,4,0,3
1,5,1,0,1,1,1,4,1,1
0,5,0,1,0,0,0,3,0,2
1,5,0,0,0,0,0,4,0,2
1,4,1,0,0,1,1,4,0,3
1,4,0,0,1,1,1,1,1,1
1,2,1,1,1,1,1,4,0,3
1,1,1,1,1,1,1,2,1,3
1,5,1,0,0,0,1,5,1,3
1,1,1,0,1,1,1,3,0,1
1,2,1,1,1,1,1,2,0,2
1,4,1,0,0,1,1,4,1,3
1,1,1,0,0,1,1,1,1,1
1,3,1,0,1,1,0,1,1,2
1,5,0,0,0,0,0,2,0,2
1,2,0,0,0,0,1,2,1,1
1,5,0,0,0,1,1,1,0,2
1,3,0,0,0,0,1,3,0,2
1,5,0,0,0,1,0,1,0,2
1,5,1,0,0,0,1,3,0,2
1,1,0,1,1,1,1,1,1,3
0,4,0,0,0,0,1,2,1,1
1,5,0,1,1,1,1,4,1,1
1,1,1,0,0,1,1,2,0,2
1,3,0,1,0,0,0,1,1,2
0,3,1,0,1,0,1,2,0,2
1,1,1,0,1,1,1,3,1,2
0,2,1,0,0,1,1,3,1,3
0,3,0,1,0,1,1,4,0,2
1,1,0,0,1,0,1,3,0,1
0,1,1,1,0,0,1,2,0,2
1,4,1,0,1,1,1,5,1,3
1,2,0,1,0,1,1,1,1,2
1,3,0,1,1,0,0,2,0,3
1,2,0,0,0,0,1,2,0,3
1,3,0,1,1,1,0,4,0,2
1,1,1,1,0,0,1,3,1,2
1,2,1,1,1,1,1,4,0,1
1,4,1,1,0,0,1,2,0,2
0,1,0,0,0,1,0,4,1,1
1,4,1,1,0,0,1,3,0,3
0,1,0,1,1,0,1,4,0,2
0,4,1,1,0,1,1,4,1,2
1,4,1,1,0,1,0,2,1,1
0,3,0,1,0,0,1,1,1,2
1,4,1,0,1,0,1,5,0,1
0,1,0,0,1,0,1,2,0,2
1,1,1,1,1,0,0,4,1,3
0,1,0,1,1,1,0,4,0,2
0,2,1,0,1,1,1,3,1,1
1,2,0,0,1,0,0,3,0,2
0,3,1,0,0,0,1,3,1,3
1,3,1,1,0,1,1,5,1,3
0,2,0,1,1,0,1,4,0,1
0,3,0,0,0,1,0,5,1,2
0,1,0,0,1,0,1,3,1,2
0,3,0,1,1,0,1,2,0,2
0,3,0,0,0,0,0,3,1,1
0,2,0,0,0,1,0,5,0,3
0,2,1,1,1,0,0,1,0,3
1,3,0,0,1,1,0,2,0,2
0,1,0,0,1,0,0,3,0,3
0,2,1,1,0,0,1,3,1,3
1,3,1,1,0,0,0,4,0,3
1,2,0,0,1,1,1,2,1,2
0,4,0,0,0,1,1,2,1,2
1,2,1,1,1,1,0,3,1,2
0,4,1,1,0,0,1,2,0,3
0,3,1,0,1,1,0,3,1,2
1,5,1,0,1,1,0,4,1,1
1,5,1,1,1,1,0,3,1,1
1,4,0,0,1,0,0,4,0,2
0,4,1,1,1,0,1,2,0,3
0,2,0,1,0,0,1,4,0,2
0,3,0,1,0,1,0,2,1,2
1,2,0,0,0,0,0,1,0,1
0,3,0,0,1,1,1,5,1,2
0,4,0,1,0,1,1,3,1,2
0,2,1,0,0,1,0,4,1,1
0,2,0,1,1,0,0,5,1,1
1,2,1,1,1,0,0,3,0,3
0,5,1,1,0,1,0,1,0,2
0,2,1,1,0,0,1,4,0,1
1,2,1,1,1,0,0,3,0,2
0,3,0,0,0,1,0,1,1,2
1,5,0,0,1,0,0,3,1,2
1,3,0,0,1,1,1,4,1,2
1,5,1,0,0,1,1,3,0,3
1,2,0,1,0,1,0,3,1,2
0,2,1,0,0,0,1,2,1,1
0,5,0,0,0,0,1,3,1,3
1,3,1,0,0,0,1,3,0,1
1,5,0,0,1,0,1,3,0,3
0,3,0,0,0,1,0,2,1,2
0,4,0,1,1,0,0,1,0,2
1,4,0,1,1,1,0,3,0,2
1,5,1,0,1,0,0,1,0,2
1,4,0,0,0,0,1,5,1,2
1,2,0,0,0,0,1,4,1,1
0,2,1,0,0,1,0,4,0,1
1,3,0,0,0,0,1,5,1,2
1,5,0,0,1,0,1,3,1,1
1,4,0,0,1,1,0,2,0,3
0,5,1,0,0,0,0,3,1,1
1,3,0,0,0,1,0,4,0,3
0,4,0,1,1,0,1,2,0,1
1,1,1,1,0,1,1,5,1,3
0,1,1,1,0,0,0,3,0,3
0,3,0,1,0,1,0,3,1,2
1,2,1,1,1,0,1,3,0,2
0,3,1,0,1,0,1,4,0,2
0,2,0,1,0,0,0,2,0,2
1,5,1,0,0,0,0,2,0,1
1,4,0,0,1,1,0,2,0,2
0,2,0,0,0,0,0,3,0,3
1,4,1,1,0,1,1,2,1,2
1,4,1,0,0,0,0,3,0,3
0,1,1,1,1,1,0,5,0,3
1,4,0,1,0,0,0,4,0,2
1,1,0,1,0,0,1,5,0,1
1,2,0,1,0,0,1,5,1,3
1,1,0,1,1,1,0,2,0,3
0,2,0,1,0,0,0,1,0,3
0,2,0,1,1,0,1,2,1,3
0,4,1,1,1,1,0,5,0,2
1,3,1,1,0,0,0,3,0,2
0,2,1,0,1,0,1,2,1,3
1,2,0,0,1,1,0,2,1,3
1,1,0,1,0,1,0,3,0,2
1,5,0,1,0,1,1,4,1,3
1,3,1,1,0,1,1,3,1,2
1,4,1,0,0,0,0,3,0,3
0,3,0,0,1,1,1,1,1,2
1,5,1,1,0,1,1,2,1,3
0,3,1,0,0,0,0,4,0,2
1,5,0,0,1,0,0,5,1,2
1,4,1,1,1,0,1,4,1,2
1,2,1,1,1,1,0,3,0,2
1,2,1,1,1,1,1,4,0,2
1,2,0,1,1,0,1,1,1,2
1,3,0,1,1,0,1,4,0,1
0,4,0,1,0,1,1,4,1,2
0,2,0,0,1,0,0,2,1,2
1,4,1,1,1,0,1,5,1,3
1,4,1,1,1,0,1,4,1,2
1,5,0,0,0,1,1,2,0,3
1,5,1,1,0,0,0,3,1,2
0,5,0,1,0,0,1,2,0,2
1,3,0,0,0,1,1,4,0,3
1,4,1,1,1,0,0,2,1,2
1,4,1,0,1,1,0,3,1,1
1,2,0,1,1,0,0,5,1,2
0,3,1,1,0,0,0,1,0,2
0,2,1,1,1,0,1,3,1,2
0,2,1,1,0,1,1,3,0,2
1,1,1,1,1,1,0,3,0,2
0,5,0,0,1,1,1,3,0,2
0,4,1,0,1,0,0,1,1,2
0,5,1,0,1,1,1,4,1,2
0,4,0,0,1,0,1,3,0,2
0,5,0,1,1,1,1,5,1,3
0,5,1,1,1,1,1,2,1,2
1,2,1,0,1,1,1,1,1,1
1,1,1,0,0,1,0,1,1,1
0,2,1,1,1,0,1,4,1,2
1,1,0,0,0,0,0,2,0,3
0,2,1,1,0,0,0,4,0,2
1,1,0,1,0,0,0,4,0,2
0,3,1,1,0,0,1,4,0,2
1,1,0,0,1,1,0,2,0,2
1,4,0,0,1,1,1,3,1,2
1,2,1,1,0,0,0,2,0,2
1,2,0,0,1,1,0,2,1,2
0,2,1,0,0,1,0,3,1,1
0,5,1,0,0,0,1,2,1,1
1,2,0,1,1,1,1,4,0,1
0,5,1,1,0,1,1,1,0,2
0,2,0,1,0,1,0,5,0,2
1,5,1,1,0,1,0,5,0,1
1,3,0,0,0,0,1,4,0,1
1,5,0,0,0,1,1,3,1,2
0,3,0,0,0,0,1,5,0,3
1,1,0,0,0,0,0,5,0,3
1,4,1,1,0,1,1,4,0,2
0,3,1,0,0,0,0,3,1,1
1,2,0,1,1,0,0,2,1,2
1,4,0,0,1,0,1,2,1,3
1,5,1,0,1,1,1,2,0,2
0,1,1,1,0,1,0,1,0,2
1,3,1,1,1,0,0,3,1,2
1,3,0,0,0,0,0,2,0,3
1,3,0,1,0,1,0,2,1,2
1,3,0,0,0,1,0,4,1,2
0,4,0,1,1,0,1,3,0,1
0,3,1,0,0,1,0,3,0,1
1,2,1,0,1,1,1,3,1,2
0,1,1,0,0,0,1,4,0,2
1,2,1,0,1,0,1,4,1,3
1,3,0,0,0,1,0,1,0,1
0,2,1,1,1,1,1,1,0,3
0,2,1,0,1,1,0,5,0,2
0,4,1,1,1,0,0,3,0,2
1,4,1,0,0,0,0,2,1,2
1,3,1,0,1,0,0,4,1,3
0,2,0,1,0,1,0,3,1,2
1,3,0,0,0,1,0,2,1,2
1,3,0,1,0,1,0,2,0,3
0,5,1,1,0,1,0,2,1,3
0,2,0,1,1,1,0,4,1,1
0,2,1,1,1,0,1,3,1,3
0,1,1,1,0,1,1,4,1,3
1,3,0,1,1,1,0,3,1,2
0,4,0,1,1,1,1,5,1,1
1,4,0,0,0,1,0,2,1,2
1,3,0,1,0,0,1,4,0,2
0,5,1,1,0,0,1,3,0,3
1,1,0,1,1,0,0,4,0,2
1,3,0,0,1,0,0,1,0,2
0,4,1,0,1,0,1,5,0,3
0,1,1,0,0,1,1,2,0,2
1,4,0,1,0,1,1,4,0,3
1,4,1,1,0,1,0,1,1,3
1,1,1,0,0,1,0,2,1,3
1,3,1,1,1,1,1,5,0,3
0,2,0,0,0,0,0,3,1,1
0,2,0,0,0,1,0,3,0,3
1,4,1,0,1,0,0,1,0,2
1,3,0,1,0,1,1,5,0,2
1,3,1,0,1,1,0,4,0,3
1,4,1,1,0,1,0,3,1,3
1,1,1,1,0,1,1,3,0,3
1,1,0,0,1,0,1,5,0,2
1,3,0,1,1,1,1,3,1,1
1,2,0,0,1,0,0,2,1,2
1,2,0,1,0,1,0,4,0,2
1,2,0,1,0,0,0,1,1,1
1,2,0,1,0,0,0,2,1,1
0,5,0,0,1,1,0,4,0,2
1,3,0,1,0,0,1,4,0,3
1,4,0,0,1,1,0,1,1,3
1,3,0,0,0,0,1,3,1,3
1,4,1,1,0,1,1,4,0,3
1,2,0,0,0,1,1,3,1,1
1,1,1,1,0,1,1,2,1,2
0,2,0,0,1,0,1,1,1,2
0,3,1,0,1,0,1,2,0,1
1,5,1,0,0,0,1,2,1,2
0,5,1,0,0,0,1,4,0,1
0,4,1,0,0,1,0,1,0,2
1,2,0,1,1,0,1,2,0,1
1,3,0,1,0,0,0,2,1,1
0,4,0,0,1,1,0,2,1,2
1,4,1,0,1,0,0,4,1,1
1,2,1,1,0,0,0,3,1,3
1,3,1,1,0,1,0,5,1,2
1,3,0,1,1,0,0,5,0,2
0,4,1,1,1,0,1,2,0,3
0,4,0,1,1,1,0,3,1,1
0,1,1,0,1,0,1,4,1,2
0,1,0,1,0,0,0,4,1,3
1,3,0,0,0,1,1,3,1,2
0,2,0,1,1,1,1,4,1,2
1,5,0,1,0,1,0,4,1,2
1,4,0,1,0,0,0,3,0,2
0,4,1,1,1,0,0,2,0,2
1,3,1,1,0,1,0,4,1,2
0,5,0,0,1,0,0,3,0,2
0,2,1,1,0,1,1,5,0,2
0,4,0,1,1,1,0,5,0,3
1,3,1,1,1,0,1,3,1,2
0,2,0,1,0,0,0,3,1,1
1,2,0,0,0,1,1,2,0,2
0,3,1,0,0,1,0,4,1,2
0,2,0,1,1,0,1,3,1,3
1,1,0,1,1,0,0,2,1,2
0,1,0,1,1,0,1,1,0,3
1,1,1,1,0,1,0,2,0,1
1,3,1,0,1,0,0,4,1,2
1,4,0,0,0,1,1,1,0,3
0,1,0,1,1,0,1,4,1,3
0,4,1,0,0,0,1,4,0,2
0,3,1,0,1,1,0,2,0,2
1,5,1,1,1,1,0,5,1,2
0,1,1,1,0,1,0,1,1,1
1,5,0,1,1,1,1,4,0,2
0,3,1,0,1,1,0,3,1,2
1,1,1,1,1,1,1,2,0,2
1,3,1,1,0,1,1,2,1,3
1,3,1,1,1,0,0,1,1,1
1,2,0,0,0,1,1,1,1,2
1,3,0,0,1,0,1,1,0,3
0,4,1,0,1,0,1,3,1,2
0,3,1,0,1,0,1,4,0,2
1,2,1,0,0,1,0,3,1,2
0,4,0,1,0,1,0,2,0,2
1,5,1,1,1,1,1,4,0,1
0,3,0,0,0,0,0,2,1,3
0,5,0,0,0,0,0,2,1,1
0,4,1,0,0,1,1,3,1,2
0,4,1,0,0,0,1,3,0,2
0,4,0,0,0,0,0,2,0,3
0,2,1,1,1,1,0,5,0,1
0,2,0,1,1,1,1,2,1,1
0,2,0,1,0,1,1,3,0,3
0,2,1,0,0,0,1,1,1,3
0,2,0,0,1,0,1,4,0,3
1,2,1,1,1,1,0,4,0,3
1,1,1,0,0,1,1,3,1,2
1,3,1,0,0,0,1,2,0,2
1,3,1,0,0,0,1,3,0,2
1,3,1,1,0,0,1,4,1,1
1,4,1,1,1,0,0,3,1,1
0,1,0,1,0,0,0,3,1,3
0,3,0,0,0,0,0,2,0,2
0,1,0,1,1,1,1,5,0,1
1,4,1,1,1,1,1,5,1,3
1,3,1,0,0,1,1,3,0,2
0,1,1,1,1,0,1,4,1,2
0,3,1,0,0,0,1,4,0,2
0,2,1,1,1,0,1,1,1,2
1,3,1,0,1,1,0,3,0,1
0,5,0,1,0,1,0,2,1,1
1,2,0,0,0,0,1,2,1,1
0,2,0,0,1,0,1,3,0,3
0,1,0,0,0,0,1,4,0,1
1,1,1,0,0,1,1,4,0,2
0,5,1,1,1,1,0,2,1,1
0,2,1,1,0,0,0,4,0,2
0,5,1,0,0,0,1,3,0,1
1,4,1,1,1,0,0,3,0,1
0,1,0,1,1,1,1,2,0,1
1,4,1,1,0,1,1,3,0,2
1,2,1,1,1,0,1,5,1,2
1,4,1,0,1,1,1,3,0,2
1,5,0,0,1,0,0,3,0,3
0,4,0,1,0,0,0,2,1,3
0,4,1,1,0,1,0,2,1,3
1,2,0,1,1,1,0,2,0,3
1,2,1,1,1,1,1,4,0,2
1,5,1,1,0,0,0,3,0,2
0,3,0,1,0,0,1,4,1,2
1,4,1,0,1,1,1,1,1,2
1,2,1,0,1,1,1,3,1,2
0,4,0,1,0,1,1,4,1,2
0,4,0,0,1,1,0,3,1,2
1,4,0,1,1,1,1,4,0,2
1,5,1,0,0,1,1,3,1,2
1,3,1,0,0,0,0,4,1,2
0,1,1,0,0,1,1,3,0,2
0,3,1,0,1,1,0,2,1,3
1,5,0,0,1,1,0,4,1,2
1,3,0,1,1,1,0,1,0,3
1,4,1,1,1,0,0,5,0,2
0,2,0,0,1,1,1,1,1,2
0,2,0,0,0,1,1,4,1,1
1,2,0,1,1,0,0,3,1,3
1,2,0,1,0,0,1,1,1,2
1,2,1,1,1,0,0,3,1,2
1,1,1,0,0,0,0,3,0,1
1,1,0,0,0,1,1,3,1,2
1,3,1,1,0,0,1,4,0,3
1,3,0,0,0,1,1,3,0,1
0,1,0,0,1,0,0,3,0,3
0,4,1,1,0,0,0,4,1,1
1,2,1,0,1,1,1,4,1,2
1,4,1,0,1,1,1,4,0,1
0,3,0,0,1,0,0,4,1,2
1,2,0,0,0,0,1,4,1,2
0,4,0,1,1,0,0,2,1,3
1,4,1,0,0,1,1,4,1,3
1,1,0,1,1,0,1,3,1,2
0,4,0,1,1,0,1,4,1,2
0,3,0,1,1,1,0,4,1,2
1,5,0,1,0,1,1,3,1,1
0,4,1,1,1,0,0,3,1,2
0,1,1,0,0,0,1,2,0,2
0,2,0,1,1,0,0,4,1,2
1,4,0,1,1,0,0,1,0,1
0,3,1,0,1,0,1,4,0,3
0,2,0,1,1,1,0,4,1,3
1,5,0,0,1,1,1,2,0,2
0,1,0,0,0,0,1,5,0,1
1,1,1,0,1,1,1,3,1,2
1,4,1,1,1,0,1,1,1,2
1,3,1,0,1,0,1,3,1,3
1,2,0,0,1,0,1,3,1,1
0,4,0,1,0,1,0,5,0,2
1,4,1,0,0,1,0,1,0,3
0,3,1,0,0,0,1,2,0,2
1,1,0,0,0,1,1,3,0,2
1,3,1,0,1,1,1,2,0,2
1,2,1,0,1,1,0,2,0,2
1,2,1,1,1,1,1,5,0,2
1,4,0,0,1,1,1,2,0,2
1,4,0,1,1,1,1,4,1,2
1,1,0,0,0,1,1,3,0,3
1,3,0,0,0,1,1,1,1,2
0,3,0,0,1,1,0,4,0,2
0,4,0,1,1,0,0,5,1,2
1,4,0,1,0,1,1,5,0,2
1,2,1,1,1,1,0,3,0,2
1,1,1,1,1,0,0,3,1,2
1,4,0,0,1,1,0,2,0,2
0,4,1,1,1,0,0,2,0,2
1,1,1,1,1,0,0,4,0,2
0,5,0,1,1,1,0,2,1,3
0,5,1,0,0,0,1,3,0,1
1,4,1,1,0,0,1,3,0,3
0,4,0,0,1,0,1,5,1,2
0,5,0,1,1,0,0,2,0,2
0,3,0,0,1,0,1,5,1,2
0,1,0,1,0,0,1,4,0,2
1,1,0,0,1,0,1,2,0,3
0,2,1,1,1,0,1,3,0,2
0,4,1,1,0,0,1,3,0,3
1,3,0,1,0,1,0,3,1,2
1,3,1,0,0,1,1,4,0,1
1,4,0,1,0,0,0,2,0,2
0,2,0,0,0,1,0,1,1,1
1,2,0,0,1,1,0,4,1,2
1,3,1,1,1,1,0,5,0,2
0,2,1,1,0,1,1,3,0,3
0,2,0,0,1,0,1,4,0,2
0,2,1,1,0,1,1,4,1,2
0,2,0,1,0,1,1,3,0,3
0,4,1,0,0,0,0,3,0,3
1,3,1,1,1,1,1,2,1,3
1,4,1,0,1,1,1,3,1,1
1,5,1,1,1,0,1,1,1,3
1,3,1,1,0,0,1,4,1,1
1,4,1,0,0,0,1,3,0,1
1,3,1,1,0,0,0,4,0,2
0,5,1,0,0,1,0,2,1,3
1,5,0,1,1,1,1,3,1,3
0,2,0,0,0,1,1,1,0,2
0,2,1,1,1,0,1,4,0,2
1,2,1,1,0,1,0,2,0,1
0,2,1,0,0,0,0,3,0,3
1,4,1,0,1,0,0,3,0,3
1,4,1,1,0,0,0,4,1,3
0,4,1,0,0,0,0,1,1,2
1,1,1,1,0,1,0,4,0,2
1,3,1,0,1,0,1,3,0,2
1,5,1,1,1,1,1,3,1,1
0,2,0,1,1,1,1,4,1,2
1,3,0,0,0,1,0,3,0,2
1,2,0,1,1,1,1,3,0,1
1,4,1,1,0,1,1,2,1,2
1,4,1,0,1,0,1,4,1,1
0,1,1,0,1,0,0,5,0,3
0,3,1,1,0,1,1,4,0,3
1,4,1,1,1,1,1,3,0,2
1,4,0,1,1,0,0,2,1,2
1,4,1,1,1,0,0,1,1,2
0,2,1,0,0,1,0,3,0,1
0,3,1,0,0,0,1,3,1,1
1,1,0,1,0,1,0,3,0,3
1,5,0,0,0,1,0,4,1,2
1,2,1,0,1,1,1,4,0,2
1,2,1,1,0,1,0,1,0,1
0,4,0,1,1,1,0,3,0,1
0,3,1,0,0,0,1,2,0,3
1,4,0,1,1,1,1,1,1,2
0,2,1,1,1,1,0,5,0,2
0,3,1,1,0,0,1,1,1,2
1,2,1,0,1,1,1,1,1,1
0,3,1,0,1,0,1,2,0,1
1,3,1,1,1,1,1,3,1,2
1,5,0,0,1,0,1,1,1,3
0,1,0,1,0,0,0,2,0,3
1,3,0,1,0,1,1,4,1,1
1,3,1,0,1,1,0,2,0,1
0,3,1,0,1,1,0,3,0,2
1,2,1,1,1,0,1,1,0,1
0,3,0,0,1,0,0,4,0,2
1,4,1,0,1,1,1,5,0,1
0,3,1,0,0,1,1,4,0,2
1,4,1,1,0,0,1,4,0,2
1,3,0,0,1,1,0,1,0,1
1,4,0,1,1,0,1,2,0,1
1,3,0,1,0,0,0,4,1,3
0,4,0,0,0,0,1,3,0,1
0,3,0,0,0,0,0,2,1,2
0,3,0,0,0,1,1,2,1,2
0,3,1,0,0,1,0,2,0,2
1,1,1,0,0,1,0,1,0,3
0,2,0,1,1,0,0,2,0,2
